instance_id,repo,primary_image,primary_exists_locally,fallback_image,fallback_exists_locally,selected_image,selected_source,selected_image_runnable,selected_image_id,selected_repo_tags,selected_repo_digests
ansible__ansible-36996@4b45ffc,ansible/ansible,reviewbench/ansible__ansible-36996,False,ghcr.io/c-crab-benchmark/ansible__ansible-36996,True,ghcr.io/c-crab-benchmark/ansible__ansible-36996,fallback,,sha256:58cb2949cb22f7876b659c9f5d54b0af469209eeb1370af20da5a871b51efd7c,ghcr.io/c-crab-benchmark/ansible__ansible-36996:latest,ghcr.io/c-crab-benchmark/ansible__ansible-36996@sha256:eccdedc0ffc0c7b684d579189df49122141d72db7f1c15b0126b125d89561a63
ansible__ansible-39963@85a7d65,ansible/ansible,reviewbench/ansible__ansible-39963,True,ghcr.io/c-crab-benchmark/ansible__ansible-39963,False,reviewbench/ansible__ansible-39963,primary,,sha256:370c627b5e97f62d2aa5340e21f70be6850a366fef140ecac02275bce3b5d275,reviewbench/ansible__ansible-39963:latest,
ansible__ansible-41849@08ea4e9,ansible/ansible,reviewbench/ansible__ansible-41849,True,ghcr.io/c-crab-benchmark/ansible__ansible-41849,False,reviewbench/ansible__ansible-41849,primary,,sha256:92b1a5c15ae502e65a91ce576a178fd04b04778e89b673eea879d3aba7796ad3,reviewbench/ansible__ansible-41849:latest,
ansible__ansible-42145@12c0d66,ansible/ansible,reviewbench/ansible__ansible-42145,True,ghcr.io/c-crab-benchmark/ansible__ansible-42145,False,reviewbench/ansible__ansible-42145,primary,,sha256:ab235fbffafc4f4f1077f4a7f5703701ca5dedf76b63bc7d48e553df89e57a7b,reviewbench/ansible__ansible-42145:latest,
ansible__ansible-42456@b29e00e,ansible/ansible,reviewbench/ansible__ansible-42456,True,ghcr.io/c-crab-benchmark/ansible__ansible-42456,True,reviewbench/ansible__ansible-42456,primary,,sha256:458deb72ae8fe41799d7199201213e139555d4232dbc11be5fa8bab07970061d,reviewbench/ansible__ansible-42456:latest;ghcr.io/c-crab-benchmark/ansible__ansible-42456:latest,
ansible__ansible-44951@91cfd5c,ansible/ansible,reviewbench/ansible__ansible-44951,False,ghcr.io/c-crab-benchmark/ansible__ansible-44951,True,ghcr.io/c-crab-benchmark/ansible__ansible-44951,fallback,,sha256:fa7c9905931506c3a21a87b7a4af0fdb31463cb1adcbad31ff85ae70c99d91a5,ghcr.io/c-crab-benchmark/ansible__ansible-44951:latest,ghcr.io/c-crab-benchmark/ansible__ansible-44951@sha256:175fc5033e65b91d0a2540bc7abaafad29806897f36f1eff66b90bd8ff201287
ansible__ansible-49873@10ef1a3,ansible/ansible,reviewbench/ansible__ansible-49873,True,ghcr.io/c-crab-benchmark/ansible__ansible-49873,False,reviewbench/ansible__ansible-49873,primary,,sha256:0c34293c3601ab6dd83a8614d9e76f1723789c0f98c16cc88eb71c04d7e1898c,reviewbench/ansible__ansible-49873:latest,
ansible__ansible-51415@fb988f5,ansible/ansible,reviewbench/ansible__ansible-51415,False,ghcr.io/c-crab-benchmark/ansible__ansible-51415,True,ghcr.io/c-crab-benchmark/ansible__ansible-51415,fallback,,sha256:f7f238e4cc79e1d92500e9ba9c6b01c83ab103713693b79e99f28b793d54ad0b,ghcr.io/c-crab-benchmark/ansible__ansible-51415:latest,ghcr.io/c-crab-benchmark/ansible__ansible-51415@sha256:e1bb229bd145dca96fe05dffc8b293c700d29b4f6f8620e079fb52c671598cc0
ansible__ansible-54268@403b068,ansible/ansible,reviewbench/ansible__ansible-54268,False,ghcr.io/c-crab-benchmark/ansible__ansible-54268,True,ghcr.io/c-crab-benchmark/ansible__ansible-54268,fallback,,sha256:51a66b9b012683d3d2d4472eca9564a8fb545f58e7336df0776cc05cefed25b1,ghcr.io/c-crab-benchmark/ansible__ansible-54268:latest,ghcr.io/c-crab-benchmark/ansible__ansible-54268@sha256:c1fd3f7a4c067d9735111f4576c58c7ce893de3887c12c1387efb3eb13074b03
ansible__ansible-55379@060b0e9,ansible/ansible,reviewbench/ansible__ansible-55379,False,ghcr.io/c-crab-benchmark/ansible__ansible-55379,True,ghcr.io/c-crab-benchmark/ansible__ansible-55379,fallback,,sha256:00568c33ee3047c18e2034da338b50b52c209ef741912bb64812f04b57396409,ghcr.io/c-crab-benchmark/ansible__ansible-55379:latest,ghcr.io/c-crab-benchmark/ansible__ansible-55379@sha256:a7ddbe72c82f3f04d75772af1d0933a7da20f19f0bc241905e3e0d474788ccdf
ansible__ansible-56567@ce2e515,ansible/ansible,reviewbench/ansible__ansible-56567,True,ghcr.io/c-crab-benchmark/ansible__ansible-56567,False,reviewbench/ansible__ansible-56567,primary,,sha256:e19506f52ae6493fa0320b95f5825059d1a0f82d09ef8cb0e2bb05d621bf016a,reviewbench/ansible__ansible-56567:latest,
ansible__ansible-56679@5e79e31,ansible/ansible,reviewbench/ansible__ansible-56679,False,ghcr.io/c-crab-benchmark/ansible__ansible-56679,True,ghcr.io/c-crab-benchmark/ansible__ansible-56679,fallback,,sha256:f3ee0e8402fc364f45248dd80a79dd069af9a010298d33d0d328cd7be6b2cf4f,ghcr.io/c-crab-benchmark/ansible__ansible-56679:latest,ghcr.io/c-crab-benchmark/ansible__ansible-56679@sha256:4b8554ba4304437761c21aa7631ea2ea35328ef4dc45a20211fd78d5514f9df1
ansible__ansible-58383@531e457,ansible/ansible,reviewbench/ansible__ansible-58383,False,ghcr.io/c-crab-benchmark/ansible__ansible-58383,True,ghcr.io/c-crab-benchmark/ansible__ansible-58383,fallback,,sha256:084abb538a869f871afd12a6e3cb461da314b89c2176af35432769d0bca04b86,ghcr.io/c-crab-benchmark/ansible__ansible-58383:latest,ghcr.io/c-crab-benchmark/ansible__ansible-58383@sha256:f83314b0254d9a0385c1c1f73988f4513aa4a983b46a6b8493224872d971b069
ansible__ansible-59946@fbe8544,ansible/ansible,reviewbench/ansible__ansible-59946,False,ghcr.io/c-crab-benchmark/ansible__ansible-59946,True,ghcr.io/c-crab-benchmark/ansible__ansible-59946,fallback,,sha256:08817afb7559cac1079ac24d02bc1624f58437b1d55780ba578b150eae4774b7,ghcr.io/c-crab-benchmark/ansible__ansible-59946:latest,ghcr.io/c-crab-benchmark/ansible__ansible-59946@sha256:5085307e15711a79152340169b797f1a8cd09a2557505114bbbde4c6a08a58ae
ansible__ansible-60622@19d2ad7,ansible/ansible,reviewbench/ansible__ansible-60622,False,ghcr.io/c-crab-benchmark/ansible__ansible-60622,True,ghcr.io/c-crab-benchmark/ansible__ansible-60622,fallback,,sha256:783ee05e06b90ebbedbd85b4738706476ece2fe75e9f16d24f6771d3de704e42,ghcr.io/c-crab-benchmark/ansible__ansible-60622:latest,ghcr.io/c-crab-benchmark/ansible__ansible-60622@sha256:a375f0585b49db4cc01dae452bc2aec5290017e84fef19d98329139c68c7fd98
ansible__ansible-61603@5bf662a,ansible/ansible,reviewbench/ansible__ansible-61603,True,ghcr.io/c-crab-benchmark/ansible__ansible-61603,False,reviewbench/ansible__ansible-61603,primary,,sha256:2b1373940a8d83ed3b982d3418d46bc54c6dd0d147daa0951faf344e0e50cf91,reviewbench/ansible__ansible-61603:latest,
ansible__ansible-62373@30950ec,ansible/ansible,reviewbench/ansible__ansible-62373,False,ghcr.io/c-crab-benchmark/ansible__ansible-62373,True,ghcr.io/c-crab-benchmark/ansible__ansible-62373,fallback,,sha256:f61c06633e3fe7966532353278f7b367e4eebeb31cbea872a9d5cc418366c919,ghcr.io/c-crab-benchmark/ansible__ansible-62373:latest,ghcr.io/c-crab-benchmark/ansible__ansible-62373@sha256:f7127c757c487559dc31b02df13c21bc45c5300e4c790ea535192db9978db35f
ansible__ansible-71136@621cec5,ansible/ansible,reviewbench/ansible__ansible-71136,False,ghcr.io/c-crab-benchmark/ansible__ansible-71136,True,ghcr.io/c-crab-benchmark/ansible__ansible-71136,fallback,,sha256:c0b038ae71adb07aaea8965c83e9a67fd8b0930601c5c4d21238e923d0741b87,ghcr.io/c-crab-benchmark/ansible__ansible-71136:latest,ghcr.io/c-crab-benchmark/ansible__ansible-71136@sha256:d9ee1a20455efd986b93c7767f3782cba958b417b7dad19024da053f9ec4dc96
apache__airflow-14836@e9f6cb4,apache/airflow,reviewbench/apache__airflow-14836,True,ghcr.io/c-crab-benchmark/apache__airflow-14836,False,reviewbench/apache__airflow-14836,primary,,sha256:3c4194c38521fe88b1c940ba88c528a2f29d5d3a6a02b2f845bbe0dc78f6e1d3,reviewbench/apache__airflow-14836:latest,
apache__airflow-16732@8ec4f26,apache/airflow,reviewbench/apache__airflow-16732,False,ghcr.io/c-crab-benchmark/apache__airflow-16732,True,ghcr.io/c-crab-benchmark/apache__airflow-16732,fallback,,sha256:31174e2c8e09f1d863d4c98e4419d26bbbc9efd030cb477aec963a020f25c65f,ghcr.io/c-crab-benchmark/apache__airflow-16732:latest,ghcr.io/c-crab-benchmark/apache__airflow-16732@sha256:8fc52bd8202aa16c89642b4389ae0e5a3f5de041cc7d8db84f76e6dba4dc01e0
apache__airflow-26766@cf0c9a6,apache/airflow,reviewbench/apache__airflow-26766,False,ghcr.io/c-crab-benchmark/apache__airflow-26766,True,ghcr.io/c-crab-benchmark/apache__airflow-26766,fallback,,sha256:eb65b97c2cb721ac889f71028156e3c487ff6b59397e5fcc1eec65314a5d2a51,ghcr.io/c-crab-benchmark/apache__airflow-26766:latest,ghcr.io/c-crab-benchmark/apache__airflow-26766@sha256:51c649dc8866d8d335c87ccb2c7a3a0c91ba7315630e889be335a70a59e6fd44
apache__airflow-51237@6dd1634,apache/airflow,reviewbench/apache__airflow-51237,True,ghcr.io/c-crab-benchmark/apache__airflow-51237,False,reviewbench/apache__airflow-51237,primary,,sha256:9e8f186af7fb8654056acc26da977c1c850cdc976e7331418dc8caa039f78509,reviewbench/apache__airflow-51237:latest,
apache__airflow-8749@161c96c,apache/airflow,reviewbench/apache__airflow-8749,False,ghcr.io/c-crab-benchmark/apache__airflow-8749,True,ghcr.io/c-crab-benchmark/apache__airflow-8749,fallback,,sha256:a933dc329235de4da1dfde2ac6bc62ca74959c576ad8f007b2d32ee2b0454b3a,ghcr.io/c-crab-benchmark/apache__airflow-8749:latest,ghcr.io/c-crab-benchmark/apache__airflow-8749@sha256:e614dd4734cf80c82da6348ed331a0fbdd38f6f83692915bade67c63858df17a
bridgecrewio__checkov-4155@48ecaf7,bridgecrewio/checkov,reviewbench/bridgecrewio__checkov-4155,True,ghcr.io/c-crab-benchmark/bridgecrewio__checkov-4155,False,reviewbench/bridgecrewio__checkov-4155,primary,,sha256:57ede35391905d522d3cd3a70c46fe7ad8d7373f59d317bcf1c412d8097e51e3,reviewbench/bridgecrewio__checkov-4155:latest,
certbot__certbot-7270@65f464e,certbot/certbot,reviewbench/certbot__certbot-7270,False,ghcr.io/c-crab-benchmark/certbot__certbot-7270,True,ghcr.io/c-crab-benchmark/certbot__certbot-7270,fallback,,sha256:32983f6698aaeaebc5fb1c845e2ec75401789f5f38887f40802c8686d3387da4,ghcr.io/c-crab-benchmark/certbot__certbot-7270:latest,ghcr.io/c-crab-benchmark/certbot__certbot-7270@sha256:094a5b7aac91a1799afc82e4f4b84f60eb01a3aae45bc9315b368db3e365c4b0
certbot__certbot-9076@01f570d,certbot/certbot,reviewbench/certbot__certbot-9076,False,ghcr.io/c-crab-benchmark/certbot__certbot-9076,True,ghcr.io/c-crab-benchmark/certbot__certbot-9076,fallback,,sha256:4b3a77f4e2692b2eed21e029605d615b53bca403d3e36cfe41f4d900e28bb4c5,ghcr.io/c-crab-benchmark/certbot__certbot-9076:latest,ghcr.io/c-crab-benchmark/certbot__certbot-9076@sha256:1e701eb1ca037318c01c6c72032095eb36e45411ef8d2d8503d4c183fba04f5a
certbot__certbot-9208@2584184,certbot/certbot,reviewbench/certbot__certbot-9208,True,ghcr.io/c-crab-benchmark/certbot__certbot-9208,False,reviewbench/certbot__certbot-9208,primary,,sha256:8151f825a92a27092d1e859d3cd45ec4118668109c3800210dad8cb8f015d8fb,reviewbench/certbot__certbot-9208:latest,
conan-io__conan-15153@ac4642f,conan-io/conan,reviewbench/conan-io__conan-15153,True,ghcr.io/c-crab-benchmark/conan-io__conan-15153,True,reviewbench/conan-io__conan-15153,primary,,sha256:966d8a39779e9b83ce7c01ad18cd07fcd7de76a41ca097450f3d30f889c86f27,reviewbench/conan-io__conan-15153:latest;ghcr.io/c-crab-benchmark/conan-io__conan-15153:latest,
conan-io__conan-16883@09d3616,conan-io/conan,reviewbench/conan-io__conan-16883,True,ghcr.io/c-crab-benchmark/conan-io__conan-16883,False,reviewbench/conan-io__conan-16883,primary,,sha256:e401fae5dba886b28796570477dd8997b8ab9c58c71f13b3d4aaeb2834109c0b,reviewbench/conan-io__conan-16883:latest,
conan-io__conan-16942@e62c6eb,conan-io/conan,reviewbench/conan-io__conan-16942,False,ghcr.io/c-crab-benchmark/conan-io__conan-16942,True,ghcr.io/c-crab-benchmark/conan-io__conan-16942,fallback,,sha256:90cbe9fce655fe6fceeb2138830f8e7d74b7f862449e74bca03c20363ab1bbdd,ghcr.io/c-crab-benchmark/conan-io__conan-16942:latest,ghcr.io/c-crab-benchmark/conan-io__conan-16942@sha256:4e4b008543fb258e5be437223578b8951aff5e271a8e2aeece4e01911967c115
conan-io__conan-6052@ca23055,conan-io/conan,reviewbench/conan-io__conan-6052,True,ghcr.io/c-crab-benchmark/conan-io__conan-6052,False,reviewbench/conan-io__conan-6052,primary,,sha256:a1877688410ea12d3b280f122e3a420d75ab4020ffcff03cc7fb675128b1c421,reviewbench/conan-io__conan-6052:latest,
cvat-ai__cvat-1396@bd228e1,cvat-ai/cvat,reviewbench/cvat-ai__cvat-1396,True,ghcr.io/c-crab-benchmark/cvat-ai__cvat-1396,False,reviewbench/cvat-ai__cvat-1396,primary,,sha256:0b256c7784c334bced0700573c30479bde9e36030f2d2c1a4d35ab70c357f780,reviewbench/cvat-ai__cvat-1396:latest,
cvat-ai__cvat-4062@ff04d8f,cvat-ai/cvat,reviewbench/cvat-ai__cvat-4062,False,ghcr.io/c-crab-benchmark/cvat-ai__cvat-4062,True,ghcr.io/c-crab-benchmark/cvat-ai__cvat-4062,fallback,,sha256:b3d10f64461261e5b3d0ed1df778dff117da663697bf3edbb6bdaaad7c58909b,ghcr.io/c-crab-benchmark/cvat-ai__cvat-4062:latest,ghcr.io/c-crab-benchmark/cvat-ai__cvat-4062@sha256:bca496ffdf789f2b00113cfb92b495ebbf53f977e5d5ff13bf492d9e5047b5cf
dask__dask-6143@3c16a2e,dask/dask,reviewbench/dask__dask-6143,True,ghcr.io/c-crab-benchmark/dask__dask-6143,True,reviewbench/dask__dask-6143,primary,,sha256:2c5bbe2de6c1e558d7b01b9245baa66fc7e985cd320154a7c4f5d61110344d33,reviewbench/dask__dask-6143:latest;ghcr.io/c-crab-benchmark/dask__dask-6143:latest,
dask__dask-7974@88a13f7,dask/dask,reviewbench/dask__dask-7974,False,ghcr.io/c-crab-benchmark/dask__dask-7974,True,ghcr.io/c-crab-benchmark/dask__dask-7974,fallback,,sha256:b058a6a2803a823464c719712ba0fcf4adc1559add004b9876db225a96760b9e,ghcr.io/c-crab-benchmark/dask__dask-7974:latest,ghcr.io/c-crab-benchmark/dask__dask-7974@sha256:09c85fc10d2106439dfd10bf92c5b1935cb2b93ca1733647887bba3f69c84d58
dask__dask-8869@24f8120,dask/dask,reviewbench/dask__dask-8869,True,ghcr.io/c-crab-benchmark/dask__dask-8869,False,reviewbench/dask__dask-8869,primary,,sha256:57ddfbd0f10dd25b505e5454f6d91265cd785ecea22cda1d9612ecf3c2d5837b,reviewbench/dask__dask-8869:latest,
dbt-labs__dbt-core-1453@70206b1,dbt-labs/dbt-core,reviewbench/dbt-labs__dbt-core-1453,True,ghcr.io/c-crab-benchmark/dbt-labs__dbt-core-1453,False,reviewbench/dbt-labs__dbt-core-1453,primary,,sha256:144fd0bf558a9fb730eca93b2bccfaf0d128a9f5f1c9d3f2052751a733b2980d,reviewbench/dbt-labs__dbt-core-1453:latest,
dbt-labs__dbt-core-5027@8dcfeb1,dbt-labs/dbt-core,reviewbench/dbt-labs__dbt-core-5027,True,ghcr.io/c-crab-benchmark/dbt-labs__dbt-core-5027,True,reviewbench/dbt-labs__dbt-core-5027,primary,,sha256:ad0d09db7bc3916da826108e0a79b0fc88994e880b76f67d36cffc35a2a5c563,reviewbench/dbt-labs__dbt-core-5027:latest;ghcr.io/c-crab-benchmark/dbt-labs__dbt-core-5027:latest,
deepset-ai__haystack-1413@fc3b61a,deepset-ai/haystack,reviewbench/deepset-ai__haystack-1413,False,ghcr.io/c-crab-benchmark/deepset-ai__haystack-1413,True,ghcr.io/c-crab-benchmark/deepset-ai__haystack-1413,fallback,,sha256:9c832f22e74d8cdedc57ab929f8dfc0fc5b4df6977dc1d5f8b913e17391d18ba,ghcr.io/c-crab-benchmark/deepset-ai__haystack-1413:latest,ghcr.io/c-crab-benchmark/deepset-ai__haystack-1413@sha256:b1fb552605496184cbc07aed6a1ab3a12465c9ea56d5228f8e6c98f330585760
deepset-ai__haystack-1604@78e9795,deepset-ai/haystack,reviewbench/deepset-ai__haystack-1604,False,ghcr.io/c-crab-benchmark/deepset-ai__haystack-1604,True,ghcr.io/c-crab-benchmark/deepset-ai__haystack-1604,fallback,,sha256:3245b809fddc1533574b9450135a7e1aaa9beffeb798aa4849a55f60d51b9a27,ghcr.io/c-crab-benchmark/deepset-ai__haystack-1604:latest,ghcr.io/c-crab-benchmark/deepset-ai__haystack-1604@sha256:c6389d35a161c3d4d7fd611804790be5a665edc364464d13f7719a59e60da97c
deepset-ai__haystack-1861@36fe91e,deepset-ai/haystack,reviewbench/deepset-ai__haystack-1861,True,ghcr.io/c-crab-benchmark/deepset-ai__haystack-1861,False,reviewbench/deepset-ai__haystack-1861,primary,,sha256:94a1d24603f4222512df7ae5aae456f3af4d43da5d62406d8a485ffa4e3075ee,reviewbench/deepset-ai__haystack-1861:latest,
deepset-ai__haystack-1976@8f7a848,deepset-ai/haystack,reviewbench/deepset-ai__haystack-1976,True,ghcr.io/c-crab-benchmark/deepset-ai__haystack-1976,True,reviewbench/deepset-ai__haystack-1976,primary,,sha256:597cdd61171d0ebecd82e89305a70f60c6da32dd064105f5c598a6d5a4643655,reviewbench/deepset-ai__haystack-1976:latest;ghcr.io/c-crab-benchmark/deepset-ai__haystack-1976:latest,
deepset-ai__haystack-3488@e07a8b3,deepset-ai/haystack,reviewbench/deepset-ai__haystack-3488,False,ghcr.io/c-crab-benchmark/deepset-ai__haystack-3488,True,ghcr.io/c-crab-benchmark/deepset-ai__haystack-3488,fallback,,sha256:2882cc6d7d547ff497cf5878ddfc1f0c8b016db6afb8f94b536c4640e5dfd0bd,ghcr.io/c-crab-benchmark/deepset-ai__haystack-3488:latest,ghcr.io/c-crab-benchmark/deepset-ai__haystack-3488@sha256:1dd810f3a576958ebed7d8390bf2f8fe2f4102f2dae7e88bdf233fca3a581a61
deepset-ai__haystack-3546@a260299,deepset-ai/haystack,reviewbench/deepset-ai__haystack-3546,False,ghcr.io/c-crab-benchmark/deepset-ai__haystack-3546,True,ghcr.io/c-crab-benchmark/deepset-ai__haystack-3546,fallback,,sha256:ce5ef33dccd21720b36f916e8a08ddd30699357deb0e7bdf7ecdee8f60fb4d6a,ghcr.io/c-crab-benchmark/deepset-ai__haystack-3546:latest,ghcr.io/c-crab-benchmark/deepset-ai__haystack-3546@sha256:4baf3bf01bd09fb13a8d3c69a1e673892511d023e6755b34cc73fb9b124a79dd
deepset-ai__haystack-3837@e0d9ac8,deepset-ai/haystack,reviewbench/deepset-ai__haystack-3837,True,ghcr.io/c-crab-benchmark/deepset-ai__haystack-3837,False,reviewbench/deepset-ai__haystack-3837,primary,,sha256:44bc6d86722849aa4a35362ab7ee98256fab98d67bda28334e9656a2ea3ee08d,reviewbench/deepset-ai__haystack-3837:latest,
deepset-ai__haystack-5205@b596443,deepset-ai/haystack,reviewbench/deepset-ai__haystack-5205,True,ghcr.io/c-crab-benchmark/deepset-ai__haystack-5205,False,reviewbench/deepset-ai__haystack-5205,primary,,sha256:7817529834cc4f7415ac6f858708ebe7d345d38efdb907352890c6191671a2d7,reviewbench/deepset-ai__haystack-5205:latest,
deepset-ai__haystack-5284@60a39ef,deepset-ai/haystack,reviewbench/deepset-ai__haystack-5284,False,ghcr.io/c-crab-benchmark/deepset-ai__haystack-5284,True,ghcr.io/c-crab-benchmark/deepset-ai__haystack-5284,fallback,,sha256:32550b347a9fcf1c7a16bdbe2cb0539c1fb5478392a179f1f7541c0500d52a8c,ghcr.io/c-crab-benchmark/deepset-ai__haystack-5284:latest,ghcr.io/c-crab-benchmark/deepset-ai__haystack-5284@sha256:3382a14b1a7e6a0bd5cc7cb38f145d206158b5a017bd3aa372982563663e911f
deepset-ai__haystack-5467@cc8b6d5,deepset-ai/haystack,reviewbench/deepset-ai__haystack-5467,True,ghcr.io/c-crab-benchmark/deepset-ai__haystack-5467,False,reviewbench/deepset-ai__haystack-5467,primary,,sha256:e8034657c30c46b777d5cf8c6b6b20467d5e9915a0076c629cc2c75a509156be,reviewbench/deepset-ai__haystack-5467:latest,
